grid,m,n,num_vertices,k,tested_k_range,total_k_subsets_checked,canonical_coefficient_vector,coefficientwise_maximum_vector,counterexample_found,passed_coefficientwise_check
2x2,2,2,4,2,2-4,6,"(0, 0, 1)","(0, 0, 1)",False,True
2x2,2,2,4,3,2-4,4,"(0, 0, 2, 1)","(0, 0, 2, 1)",False,True
2x2,2,2,4,4,2-4,1,"(0, 0, 4, 4, 1)","(0, 0, 4, 4, 1)",False,True
2x3,2,3,6,2,2-6,15,"(0, 0, 1)","(0, 0, 1)",False,True
2x3,2,3,6,3,2-6,20,"(0, 0, 2, 1)","(0, 0, 2, 1)",False,True
2x3,2,3,6,4,2-6,15,"(0, 0, 4, 4, 1)","(0, 0, 4, 4, 1)",False,True
2x3,2,3,6,5,2-6,6,"(0, 0, 4, 8, 5, 1)","(0, 0, 4, 8, 5, 1)",False,True
2x3,2,3,6,6,2-6,1,"(0, 0, 4, 16, 15, 6, 1)","(0, 0, 4, 16, 15, 6, 1)",False,True
2x4,2,4,8,2,2-8,28,"(0, 0, 1)","(0, 0, 1)",False,True
2x4,2,4,8,3,2-8,56,"(0, 0, 2, 1)","(0, 0, 2, 1)",False,True
2x4,2,4,8,4,2-8,70,"(0, 0, 4, 4, 1)","(0, 0, 4, 4, 1)",False,True
2x4,2,4,8,5,2-8,56,"(0, 0, 4, 8, 5, 1)","(0, 0, 4, 8, 5, 1)",False,True
2x4,2,4,8,6,2-8,28,"(0, 0, 4, 16, 15, 6, 1)","(0, 0, 4, 16, 15, 6, 1)",False,True
2x4,2,4,8,7,2-8,8,"(0, 0, 4, 23, 32, 21, 7, 1)","(0, 0, 4, 23, 32, 21, 7, 1)",False,True
2x4,2,4,8,8,2-8,1,"(0, 0, 4, 36, 64, 56, 28, 8, 1)","(0, 0, 4, 36, 64, 56, 28, 8, 1)",False,True
2x5,2,5,10,2,2-10,45,"(0, 0, 1)","(0, 0, 1)",False,True
2x5,2,5,10,3,2-10,120,"(0, 0, 2, 1)","(0, 0, 2, 1)",False,True
2x5,2,5,10,4,2-10,210,"(0, 0, 4, 4, 1)","(0, 0, 4, 4, 1)",False,True
2x5,2,5,10,5,2-10,252,"(0, 0, 4, 8, 5, 1)","(0, 0, 4, 8, 5, 1)",False,True
2x5,2,5,10,6,2-10,210,"(0, 0, 4, 16, 15, 6, 1)","(0, 0, 4, 16, 15, 6, 1)",False,True
2x5,2,5,10,7,2-10,120,"(0, 0, 4, 23, 32, 21, 7, 1)","(0, 0, 4, 23, 32, 21, 7, 1)",False,True
2x5,2,5,10,8,2-10,45,"(0, 0, 4, 36, 64, 56, 28, 8, 1)","(0, 0, 4, 36, 64, 56, 28, 8, 1)",False,True
2x5,2,5,10,9,2-10,10,"(0, 0, 4, 47, 106, 122, 84, 36, 9, 1)","(0, 0, 4, 47, 106, 122, 84, 36, 9, 1)",False,True
2x5,2,5,10,10,2-10,1,"(0, 0, 4, 66, 176, 244, 210, 120, 45, 10, 1)","(0, 0, 4, 66, 176, 244, 210, 120, 45, 10, 1)",False,True
2x6,2,6,12,2,2-12,66,"(0, 0, 1)","(0, 0, 1)",False,True
2x6,2,6,12,3,2-12,220,"(0, 0, 2, 1)","(0, 0, 2, 1)",False,True
2x6,2,6,12,4,2-12,495,"(0, 0, 4, 4, 1)","(0, 0, 4, 4, 1)",False,True
2x6,2,6,12,5,2-12,792,"(0, 0, 4, 8, 5, 1)","(0, 0, 4, 8, 5, 1)",False,True
2x6,2,6,12,6,2-12,924,"(0, 0, 4, 16, 15, 6, 1)","(0, 0, 4, 16, 15, 6, 1)",False,True
2x6,2,6,12,7,2-12,792,"(0, 0, 4, 23, 32, 21, 7, 1)","(0, 0, 4, 23, 32, 21, 7, 1)",False,True
2x6,2,6,12,8,2-12,495,"(0, 0, 4, 36, 64, 56, 28, 8, 1)","(0, 0, 4, 36, 64, 56, 28, 8, 1)",False,True
2x6,2,6,12,9,2-12,220,"(0, 0, 4, 47, 106, 122, 84, 36, 9, 1)","(0, 0, 4, 47, 106, 122, 84, 36, 9, 1)",False,True
2x6,2,6,12,10,2-12,66,"(0, 0, 4, 66, 176, 244, 210, 120, 45, 10, 1)","(0, 0, 4, 66, 176, 244, 210, 120, 45, 10, 1)",False,True
2x6,2,6,12,11,2-12,12,"(0, 0, 4, 82, 259, 432, 457, 330, 165, 55, 11, 1)","(0, 0, 4, 82, 259, 432, 457, 330, 165, 55, 11, 1)",False,True
2x6,2,6,12,12,2-12,1,"(0, 0, 4, 108, 387, 740, 914, 792, 495, 220, 66, 12, 1)","(0, 0, 4, 108, 387, 740, 914, 792, 495, 220, 66, 12, 1)",False,True
2x7,2,7,14,2,2-14,91,"(0, 0, 1)","(0, 0, 1)",False,True
2x7,2,7,14,3,2-14,364,"(0, 0, 2, 1)","(0, 0, 2, 1)",False,True
2x7,2,7,14,4,2-14,1001,"(0, 0, 4, 4, 1)","(0, 0, 4, 4, 1)",False,True
2x7,2,7,14,5,2-14,2002,"(0, 0, 4, 8, 5, 1)","(0, 0, 4, 8, 5, 1)",False,True
2x7,2,7,14,6,2-14,3003,"(0, 0, 4, 16, 15, 6, 1)","(0, 0, 4, 16, 15, 6, 1)",False,True
2x7,2,7,14,7,2-14,3432,"(0, 0, 4, 23, 32, 21, 7, 1)","(0, 0, 4, 23, 32, 21, 7, 1)",False,True
2x7,2,7,14,8,2-14,3003,"(0, 0, 4, 36, 64, 56, 28, 8, 1)","(0, 0, 4, 36, 64, 56, 28, 8, 1)",False,True
2x7,2,7,14,9,2-14,2002,"(0, 0, 4, 47, 106, 122, 84, 36, 9, 1)","(0, 0, 4, 47, 106, 122, 84, 36, 9, 1)",False,True
2x7,2,7,14,10,2-14,1001,"(0, 0, 4, 66, 176, 244, 210, 120, 45, 10, 1)","(0, 0, 4, 66, 176, 244, 210, 120, 45, 10, 1)",False,True
2x7,2,7,14,11,2-14,364,"(0, 0, 4, 82, 259, 432, 457, 330, 165, 55, 11, 1)","(0, 0, 4, 82, 259, 432, 457, 330, 165, 55, 11, 1)",False,True
2x7,2,7,14,12,2-14,91,"(0, 0, 4, 108, 387, 740, 914, 792, 495, 220, 66, 12, 1)","(0, 0, 4, 108, 387, 740, 914, 792, 495, 220, 66, 12, 1)",False,True
2x7,2,7,14,13,2-14,14,"(0, 0, 4, 130, 531, 1166, 1674, 1710, 1287, 715, 286, 78, 13, 1)","(0, 0, 4, 130, 531, 1166, 1674, 1710, 1287, 715, 286, 78, 13, 1)",False,True
2x7,2,7,14,14,2-14,1,"(0, 0, 4, 164, 741, 1812, 2929, 3420, 3003, 2002, 1001, 364, 91, 14, 1)","(0, 0, 4, 164, 741, 1812, 2929, 3420, 3003, 2002, 1001, 364, 91, 14, 1)",False,True
3x3,3,3,9,2,2-6,36,"(0, 0, 1)","(0, 0, 1)",False,True
3x3,3,3,9,3,2-6,84,"(0, 0, 2, 1)","(0, 0, 2, 1)",False,True
3x3,3,3,9,4,2-6,126,"(0, 0, 4, 4, 1)","(0, 0, 4, 4, 1)",False,True
3x3,3,3,9,5,2-6,126,"(0, 0, 4, 8, 5, 1)","(0, 0, 4, 8, 5, 1)",False,True
3x3,3,3,9,6,2-6,84,"(0, 0, 4, 16, 15, 6, 1)","(0, 0, 4, 16, 15, 6, 1)",False,True
3x4,3,4,12,2,2-8,66,"(0, 0, 1)","(0, 0, 1)",False,True
3x4,3,4,12,3,2-8,220,"(0, 0, 2, 1)","(0, 0, 2, 1)",False,True
3x4,3,4,12,4,2-8,495,"(0, 0, 4, 4, 1)","(0, 0, 4, 4, 1)",False,True
3x4,3,4,12,5,2-8,792,"(0, 0, 4, 8, 5, 1)","(0, 0, 4, 8, 5, 1)",False,True
3x4,3,4,12,6,2-8,924,"(0, 0, 4, 16, 15, 6, 1)","(0, 0, 4, 16, 15, 6, 1)",False,True
3x4,3,4,12,7,2-8,792,"(0, 0, 4, 23, 32, 21, 7, 1)","(0, 0, 4, 23, 32, 21, 7, 1)",False,True
